composition gfa{AM,CR} processing{meltspin,sputtering}
Co11.008000V36.712000Zr52.280000 CR sputtering
Co11.313000V34.893000Zr53.795000 CR sputtering
Co11.610000V33.121000Zr55.269000 CR sputtering
Co11.899000V31.398000Zr56.703000 CR sputtering
Co12.180000V29.734000Zr58.086000 CR sputtering
Co12.453000V28.126000Zr59.422000 CR sputtering
Co12.715000V26.582000Zr60.703000 CR sputtering
Co12.969000V25.101000Zr61.931000 CR sputtering
Co13.212000V23.682000Zr63.106000 CR sputtering
Co13.445000V22.331000Zr64.224000 CR sputtering
Co13.668000V21.043000Zr65.289000 CR sputtering
Co13.881000V19.821000Zr66.298000 CR sputtering
Co14.083000V18.664000Zr67.253000 CR sputtering
Co14.276000V17.567000Zr68.157000 CR sputtering
Co14.459000V16.532000Zr69.009000 CR sputtering
Co11.078000V42.577000Zr46.345000 CR sputtering
Co11.441000V40.643000Zr47.915000 CR sputtering
Co11.799000V38.745000Zr49.456000 CR sputtering
Co12.151000V36.881000Zr50.968000 CR sputtering
Co12.496000V35.063000Zr52.441000 CR sputtering
Co12.833000V33.293000Zr53.874000 CR sputtering
Co13.162000V31.573000Zr55.265000 CR sputtering
Co13.481000V29.911000Zr56.608000 CR sputtering
Co13.791000V28.305000Zr57.903000 CR sputtering
Co14.091000V26.764000Zr59.145000 CR sputtering
Co14.380000V25.286000Zr60.335000 CR sputtering
Co14.658000V23.869000Zr61.473000 CR sputtering
Co14.925000V22.520000Zr62.555000 CR sputtering
Co15.182000V21.233000Zr63.586000 CR sputtering
Co15.426000V20.013000Zr64.561000 CR sputtering
Co15.660000V18.856000Zr65.484000 CR sputtering
Co15.883000V17.759000Zr66.358000 CR sputtering
Co16.096000V16.725000Zr67.180000 CR sputtering
Co16.298000V15.747000Zr67.955000 CR sputtering
Co11.774000V44.629000Zr43.597000 CR sputtering
Co12.187000V42.670000Zr45.142000 CR sputtering
Co12.597000V40.736000Zr46.667000 CR sputtering
Co13.000000V38.839000Zr48.161000 CR sputtering
Co13.397000V36.977000Zr49.626000 CR sputtering
Co13.786000V35.162000Zr51.052000 CR sputtering
Co14.167000V33.396000Zr52.437000 CR sputtering
Co14.539000V31.679000Zr53.782000 CR sputtering
Co14.900000V30.022000Zr55.078000 CR sputtering
Co15.251000V28.421000Zr56.328000 CR sputtering
Co15.590000V26.885000Zr57.525000 CR sputtering
Co15.918000V25.411000Zr58.671000 CR sputtering
Co16.235000V23.998000Zr59.766000 CR sputtering
Co16.539000V22.653000Zr60.808000 CR sputtering
Co16.832000V21.370000Zr61.798000 CR sputtering
Co17.112000V20.153000Zr62.735000 CR sputtering
Co17.380000V18.999000Zr63.621000 CR sputtering
Co17.637000V17.904000Zr64.458000 CR sputtering
Co17.882000V16.872000Zr65.246000 CR sputtering
Co18.116000V15.896000Zr65.988000 CR sputtering
Co18.339000V14.979000Zr66.683000 CR sputtering
Co12.931000V44.639000Zr42.430000 CR sputtering
Co13.395000V42.680000Zr43.925000 CR sputtering
